fecha_minuto,Barra,CMg(USD/MWh)
2025-09-08 00:00,DALCAHUE______023,"59,93"
2025-09-08 00:00,P.MONTT_______220,"59,26"
2025-09-08 00:15,DALCAHUE______023,"59,62"
2025-09-08 00:15,P.MONTT_______220,"58,73"
2025-09-08 00:30,DALCAHUE______023,"60,63"
2025-09-08 00:30,P.MONTT_______220,"59,59"
2025-09-08 00:45,DALCAHUE______023,"57,61"
2025-09-08 00:45,P.MONTT_______220,"56,37"
2025-09-08 01:00,DALCAHUE______023,"55,11"
2025-09-08 01:00,P.MONTT_______220,"54,10"
2025-09-08 01:15,DALCAHUE______023,"50,40"
2025-09-08 01:15,P.MONTT_______220,"49,76"
2025-09-08 01:30,DALCAHUE______023,"49,40"
2025-09-08 01:30,P.MONTT_______220,"48,61"
2025-09-08 01:45,DALCAHUE______023,"48,95"
2025-09-08 01:45,P.MONTT_______220,"48,37"
2025-09-08 02:00,DALCAHUE______023,"51,17"
2025-09-08 02:00,P.MONTT_______220,"50,58"
2025-09-08 02:15,DALCAHUE______023,"50,64"
2025-09-08 02:15,P.MONTT_______220,"50,10"
2025-09-08 02:30,DALCAHUE______023,"50,93"
2025-09-08 02:30,P.MONTT_______220,"50,16"
2025-09-08 02:45,DALCAHUE______023,"51,92"
2025-09-08 02:45,P.MONTT_______220,"50,65"
2025-09-08 03:00,DALCAHUE______023,"50,78"
2025-09-08 03:00,P.MONTT_______220,"50,12"
2025-09-08 03:15,DALCAHUE______023,"51,50"
2025-09-08 03:15,P.MONTT_______220,"50,52"
2025-09-08 03:30,DALCAHUE______023,"55,02"
2025-09-08 03:30,P.MONTT_______220,"54,02"
2025-09-08 03:45,DALCAHUE______023,"54,64"
2025-09-08 03:45,P.MONTT_______220,"53,76"
2025-09-08 04:00,DALCAHUE______023,"54,33"
2025-09-08 04:00,P.MONTT_______220,"53,28"
2025-09-08 04:15,DALCAHUE______023,"54,12"
2025-09-08 04:15,P.MONTT_______220,"53,17"
2025-09-08 04:30,DALCAHUE______023,"51,56"
2025-09-08 04:30,P.MONTT_______220,"50,67"
2025-09-08 04:45,DALCAHUE______023,"52,01"
2025-09-08 04:45,P.MONTT_______220,"51,03"
2025-09-08 05:00,DALCAHUE______023,"52,85"
2025-09-08 05:00,P.MONTT_______220,"51,89"
2025-09-08 05:15,DALCAHUE______023,"53,01"
2025-09-08 05:15,P.MONTT_______220,"51,97"
2025-09-08 05:30,DALCAHUE______023,"53,17"
2025-09-08 05:30,P.MONTT_______220,"52,11"
2025-09-08 05:45,DALCAHUE______023,"55,41"
2025-09-08 05:45,P.MONTT_______220,"54,04"
2025-09-08 06:00,DALCAHUE______023,"57,40"
2025-09-08 06:00,P.MONTT_______220,"55,76"
2025-09-08 06:15,DALCAHUE______023,"57,65"
2025-09-08 06:15,P.MONTT_______220,"55,72"
2025-09-08 06:30,DALCAHUE______023,"82,27"
2025-09-08 06:30,P.MONTT_______220,"78,67"
2025-09-08 06:45,DALCAHUE______023,"93,38"
2025-09-08 06:45,P.MONTT_______220,"90,02"
2025-09-08 07:00,DALCAHUE______023,"103,33"
2025-09-08 07:00,P.MONTT_______220,"100,01"
2025-09-08 07:15,DALCAHUE______023,"153,76"
2025-09-08 07:15,P.MONTT_______220,"148,59"
2025-09-08 07:30,DALCAHUE______023,"159,23"
2025-09-08 07:30,P.MONTT_______220,"154,69"
2025-09-08 07:45,DALCAHUE______023,"155,80"
2025-09-08 07:45,P.MONTT_______220,"152,13"
2025-09-08 08:00,DALCAHUE______023,"121,43"
2025-09-08 08:00,P.MONTT_______220,"117,99"
2025-09-08 08:15,DALCAHUE______023,"102,31"
2025-09-08 08:15,P.MONTT_______220,"98,93"
2025-09-08 08:30,DALCAHUE______023,"51,42"
2025-09-08 08:30,P.MONTT_______220,"49,51"
2025-09-08 08:45,DALCAHUE______023,"0,00"
2025-09-08 08:45,P.MONTT_______220,"0,00"
2025-09-08 09:00,DALCAHUE______023,"0,00"
2025-09-08 09:00,P.MONTT_______220,"0,00"
2025-09-08 09:15,DALCAHUE______023,"0,00"
2025-09-08 09:15,P.MONTT_______220,"0,00"
2025-09-08 09:30,DALCAHUE______023,"0,00"
2025-09-08 09:30,P.MONTT_______220,"0,00"
2025-09-08 09:45,DALCAHUE______023,"0,00"
2025-09-08 09:45,P.MONTT_______220,"0,00"
2025-09-08 10:00,DALCAHUE______023,"0,00"
2025-09-08 10:00,P.MONTT_______220,"0,00"
2025-09-08 10:15,DALCAHUE______023,"0,00"
2025-09-08 10:15,P.MONTT_______220,"0,00"
2025-09-08 10:30,DALCAHUE______023,"0,00"
2025-09-08 10:30,P.MONTT_______220,"0,00"
2025-09-08 10:45,DALCAHUE______023,"0,00"
2025-09-08 10:45,P.MONTT_______220,"0,00"
2025-09-08 11:00,DALCAHUE______023,"0,00"
2025-09-08 11:00,P.MONTT_______220,"0,00"
2025-09-08 11:15,DALCAHUE______023,"0,00"
2025-09-08 11:15,P.MONTT_______220,"0,00"
2025-09-08 11:30,DALCAHUE______023,"0,00"
2025-09-08 11:30,P.MONTT_______220,"0,00"
2025-09-08 11:45,DALCAHUE______023,"0,00"
2025-09-08 11:45,P.MONTT_______220,"0,00"
