target_hour,threshold,threshold_uncalibrated,f1,precision,recall,samples,positives
0,0.36153200635440114,0.24275000000000002,0.4526823387582881,0.3714144411473788,0.5794753086419753,8666,1296.0
1,0.3621020171290973,0.26725000000000004,0.5628847845206685,0.47832585949177875,0.6837606837606838,8666,1872.0
2,0.36356283448550797,0.3285,0.6345768150822303,0.5694744420446364,0.7164855072463768,8666,2208.0
3,0.36505899546564263,0.35300000000000004,0.7036630036630037,0.6534013605442177,0.7623015873015873,8666,2520.0
4,0.3676248235311321,0.31625000000000003,0.7182357930449533,0.6503840245775729,0.8018939393939394,8666,2640.0
5,0.3690507795803489,0.31625000000000003,0.7144576242049167,0.6491721337082161,0.7943425076452599,8666,2616.0
6,0.37028871847620365,0.30400000000000005,0.7301587301587301,0.6563185951709,0.8227201257861635,8666,2544.0
7,0.37059263038857704,0.38975000000000004,0.6618181818181819,0.5979899497487438,0.7409003831417624,8666,2088.0
8,0.3707005299585804,0.46325000000000005,0.6436323366555925,0.5759017043202537,0.7294176706827309,8666,1992.0
9,0.3703020793751416,0.43875000000000003,0.7860542335362479,0.7355012427506213,0.8440694081293083,8666,4207.0
10,0.3703550289858613,0.31625000000000003,0.8524469745661556,0.8010353753235548,0.9109105180533752,8666,5096.0
11,0.37013387379460594,0.46325000000000005,0.8149978513107005,0.7884015797131574,0.8434511896820103,8666,4497.0
12,0.3693369912460913,0.36525,0.8096308186195826,0.7401682645274897,0.8934813415210203,8666,4234.0
13,0.3693348872967548,0.402,0.8085580566079786,0.7466556904712904,0.8816524908869988,8666,4115.0
14,0.3695288873665701,0.48775,0.817602642756017,0.7818140794223827,0.8568249258160238,8666,4044.0
15,0.3695039735046748,0.43875000000000003,0.8274157303370786,0.7815750371471025,0.878968727619957,8666,4189.0
16,0.3693639718175213,0.5,0.8283251805264384,0.8089171974522293,0.8486873508353222,8666,4190.0
17,0.3688018183132972,0.56125,0.7918509583165796,0.7728937728937729,0.8117614729321242,8666,3639.0
18,0.36853860021357504,0.38975000000000004,0.7745443856554968,0.7343924191750278,0.8193407960199005,8666,3216.0
19,0.36809331313695315,0.31625000000000003,0.7353320438426821,0.6962759462759462,0.7790300546448088,8666,2928.0
20,0.36855734961018216,0.15700000000000003,0.4597207303974221,0.3596638655462185,0.6369047619047619,8666,1008.0
21,0.3681621207085962,0.19375,0.44305772230889234,0.376657824933687,0.5378787878787878,8666,792.0
22,0.3680391224090884,0.20600000000000002,0.44552058111380144,0.37551020408163266,0.5476190476190477,8666,840.0
23,0.3679848492578071,0.3285,0.43591022443890276,0.44912641315519014,0.42344961240310075,8666,1032.0
